Company,Ticker
Reliance Industries,RELIANCE.NS
TCS,TCS.NS
Infosys,INFY.NS
HDFC Bank,HDFCBANK.NS
ICICI Bank,ICICIBANK.NS
State Bank of India,SBIN.NS
Vedanta,VEDL.NS
Wipro,WIPRO.NS
Axis Bank,AXISBANK.NS
ITC,ITC.NS
Larsen & Toubro,LT.NS
Bharti Airtel,BHARTIARTL.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Maruti Suzuki,MARUTI.NS
Asian Paints,ASIANPAINT.NS
Titan,TITAN.NS
Sun Pharma,SUNPHARMA.NS
Tech Mahindra,TECHM.NS
HCL Technologies,HCLTECH.NS
Bajaj Finance,BAJFINANCE.NS
UltraTech Cement,ULTRACEMCO.NS
Nestle India,NESTLEIND.NS
Power Grid,POWERGRID.NS
NTPC,NTPC.NS
Tata Motors,TATAMOTORS.NS
Adani Enterprises,ADANIENT.NS
Adani Ports,ADANIPORTS.NS
JSW Steel,JSWSTEEL.NS
Coal India,COALINDIA.NS
ONGC,ONGC.NS
IndusInd Bank,INDUSINDBK.NS
Dr Reddy's,DRREDDY.NS
Cipla,CIPLA.NS
Grasim,GRASIM.NS
Britannia,BRITANNIA.NS
Hero MotoCorp,HEROMOTOCO.NS
Eicher Motors,EICHERMOT.NS
Bajaj Auto,BAJAJ-AUTO.NS
Apollo Hospitals,APOLLOHOSP.NS
Divis Laboratories,DIVISLAB.NS
SBI Life Insurance,SBILIFE.NS
Hindustan Unilever,HINDUNILVR.NS
Tata Consumer Products,TATACONSUM.NS
UPL,UPL.NS
BPCL,BPCL.NS
Havells,HAVELLS.NS
Pidilite Industries,PIDILITIND.NS
DLF,DLF.NS
Eternal (Zomato),ETERNAL.NS
IRCTC,IRCTC.NS
Ambuja Cements,AMBUJACEM.NS
Siemens India,SIEMENS.NS
Bosch India,BOSCHLTD.NS
Tata Steel,TATASTEEL.NS
Mahindra & Mahindra,M&M.NS
Godrej Consumer Products,GODREJCP.NS
Berger Paints,BERGEPAINT.NS
Colgate Palmolive,COLPAL.NS
ABB India,ABB.NS
Avenue Supermarts (DMart),DMART.NS
Indian Hotels,INDHOTEL.NS
TVS Motor Company,TVSMOTOR.NS
REC Limited,RECLTD.NS
LIC Housing Finance,LICHSGFIN.NS
Canara Bank,CANBK.NS
Punjab National Bank,PNB.NS
Bank of Baroda,BANKBARODA.NS
IDFC First Bank,IDFCFIRSTB.NS
Federal Bank,FEDERALBNK.NS
Yes Bank,YESBANK.NS
Union Bank of India,UNIONBANK.NS
Indian Oil Corporation,IOC.NS
GAIL India,GAIL.NS
Petronet LNG,PETRONET.NS
Bharat Electronics,BEL.NS
HAL,HAL.NS
BHEL,BHEL.NS
CG Power,CGPOWER.NS
NMDC,NMDC.NS
SAIL,SAIL.NS
Torrent Power,TORNTPOWER.NS
Adani Green Energy,ADANIGREEN.NS
Adani Energy Solutions,ADANIENSOL.NS
Paytm,PAYTM.NS
Policybazaar,PBFINTECH.NS
Jio Financial Services,JIOFIN.NS
Tata Power,TATAPOWER.NS
Suzlon Energy,SUZLON.NS
IRFC,IRFC.NS
NHPC,NHPC.NS
Rail Vikas Nigam,RVNL.NS
Container Corporation,CONCOR.NS
Cochin Shipyard,COCHINSHIP.NS
Mazagon Dock,MAZDOCK.NS
Persistent Systems,PERSISTENT.NS
Oracle Financial Services,OFSS.NS
Mphasis,MPHASIS.NS
LTIMindtree,LTIM.NS
Aarti Industries,AARTIIND.NS
Deepak Nitrite,DEEPAKNTR.NS
PI Industries,PIIND.NS
SRF,SRF.NS
Cummins India,CUMMINSIND.NS
Astral,ASTRAL.NS